position,top1_accuracy,top5_accuracy
1,0.05676666647195816,0.22609999775886536
2,0.05108333379030228,0.2014833390712738
3,0.05038333311676979,0.21956667304039001
4,0.04776666685938835,0.2168000042438507
5,0.044733334332704544,0.20915000140666962
6,0.04426666721701622,0.2082500010728836
7,0.04255000129342079,0.2046833336353302
8,0.04194999858736992,0.20331667363643646
9,0.04194999858736992,0.203983336687088
10,0.043566666543483734,0.2024500072002411
11,0.04311666637659073,0.20600000023841858
12,0.04554999992251396,0.20438332855701447
13,0.04908333346247673,0.20203332602977753
14,0.028616666793823242,0.1423666626214981
15,0.048650000244379044,0.15933333337306976
16,0.06411666423082352,0.23549999296665192
17,0.05001666769385338,0.2169666737318039
18,0.04021666571497917,0.1868666708469391
19,0.0396166667342186,0.18193332850933075
20,0.03726666793227196,0.18021667003631592
21,0.037450000643730164,0.17633333802223206
22,0.03720000013709068,0.17274999618530273
23,0.03579999879002571,0.170933336019516
24,0.035349998623132706,0.17371666431427002
25,0.03581666573882103,0.17675000429153442
26,0.03884999826550484,0.186516672372818
27,0.040300000458955765,0.1889999955892563
28,0.04443333297967911,0.1931000053882599
29,0.02836666628718376,0.14051666855812073
30,0.06185000017285347,0.21013332903385162
31,0.057483334094285965,0.21175000071525574
32,0.04778333380818367,0.1951666623353958
33,0.04038333147764206,0.17986667156219482
34,0.03824999928474426,0.17801666259765625
35,0.03738333284854889,0.17773333191871643
36,0.03669999912381172,0.17408333718776703
37,0.03598333150148392,0.17329999804496765
38,0.03790000081062317,0.1808166652917862
39,0.03606666624546051,0.18096666038036346
40,0.03933333232998848,0.18756666779518127
41,0.03906666487455368,0.18844999372959137
42,0.041999999433755875,0.19376666843891144
43,0.045249998569488525,0.1950666606426239
44,0.028416667133569717,0.14100000262260437
